paper_arxiv_id,paper_title,repo_url,framework,year,subfield,conference,is_official,mentioned_in_paper
2304.12244,WizardLM: Empowering Large Language Models to Follow Complex Instructions,https://github.com/nlpxucan/wizardlm,pytorch,2023,other_ml,,True,True
2410.02428,Collective Critics for Creative Story Generation,https://github.com/emnlp-2024-critics/collective-critics-for-creative-story-generation,none,2024,other_ml,,True,True
2308.15116,Mixup-Augmented Meta-Learning for Sample-Efficient Fine-Tuning of Protein Simulators,https://github.com/jingbang-chen/mixup-meta-protein-simulators,pytorch,2023,other_ml,,True,True
2204.09224,ContentVec: An Improved Self-Supervised Speech Representation by Disentangling Speakers,https://github.com/auspicious3000/contentvec,pytorch,2022,other_ml,,True,True
2305.10898,Estimation Beyond Data Reweighting: Kernel Method of Moments,https://github.com/heinerkremer/conditional-moment-restrictions,pytorch,2023,other_ml,,True,True
2506.10609,MSTAR: Box-free Multi-query Scene Text Retrieval with Attention Recycling,https://github.com/yingift/mstar,none,2025,other_ml,,True,True
2308.01785,Lexicon and Rule-based Word Lemmatization Approach for the Somali Language,https://github.com/shafieabdi/somalilemmatizer,none,2023,other_ml,,True,True
2207.09036,Schooling and Labor Market Consequences of School Construction in Indonesia: Comment,https://github.com/droodman/duflo-2001,none,2022,other_ml,,True,True
2501.04155,MM-GEN: Enhancing Task Performance Through Targeted Multimodal Data Curation,https://github.com/sjoshi804/mm-gen,pytorch,2025,other_ml,,True,True
2402.00184,The Mixed Aggregate Preference Logit Model: A Machine Learning Approach to Modeling Unobserved Heterogeneity in Discrete Choice Analysis,https://github.com/crforsythe/havan-paper,none,2024,other_ml,,True,True
2411.03651,Policy Aggregation,https://github.com/praal/policy-aggregation,none,2024,other_ml,,True,True
2412.13577,Bridge then Begin Anew: Generating Target-relevant Intermediate Model for Source-free Visual Emotion Adaptation,https://github.com/zhuzhu804/bba,none,2024,other_ml,,True,True
2305.15835,PDE+: Enhancing Generalization via PDE with Adaptive Distributional Diffusion,https://github.com/yuanyige/pde-add,pytorch,2023,other_ml,,True,True
2310.20211,Calibration by Distribution Matching: Trainable Kernel Calibration Metrics,https://github.com/kernel-calibration/kernel-calibration,pytorch,2023,other_ml,calibration-by-distribution-matching,True,True
2310.07659,Well Begun is Half Done: Generator-agnostic Knowledge Pre-Selection for Knowledge-Grounded Dialogue,https://github.com/qinlang14/gate,pytorch,2023,other_ml,,True,True
2403.05778,Spatial Clustering Approach for Vessel Path Identification,https://github.com/mohamedabuella/path_clustering,none,2024,other_ml,,True,True
2205.00534,Generalized Reference Kernel for One-class Classification,https://github.com/jenniraitoharju/generalizedreferencekernel,none,2022,other_ml,,True,True
2409.01416,Active Symbolic Discovery of Ordinary Differential Equations via Phase Portrait Sketching,https://github.com/jiangnanhugo/apps-ode,none,2024,other_ml,,True,True
